sweep,sweep_label,scenario,scenario_label,operation,operation_label,avg_gas,std_gas,min_gas,max_gas,rounds,success_rounds,failure_rounds,status
parcel_coverage,Parcel Coverage Sweep,p1_4_leaves,P1 4 Leaves,findBatchesInsideParcelDuringTime,Q6 Batches Inside Parcel During Time,69559.8,3.6,69549,69561,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p1_4_leaves,P1 4 Leaves,findLotsInsideParcelDuringTime,Q12 Lots Inside Parcel During Time,85961.8,3.6,85951,85963,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p2_8_leaves,P2 8 Leaves,registerParcel,Register Parcel,638403,0,638403,638403,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p2_8_leaves,P2 8 Leaves,findBatchesInsideParcel,Q5 Batches Inside Parcel,70266,0,70266,70266,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p2_8_leaves,P2 8 Leaves,findBatchesInsideParcelDuringTime,Q6 Batches Inside Parcel During Time,85013,0,85013,85013,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p2_8_leaves,P2 8 Leaves,findLotsInsideParcelDuringTime,Q12 Lots Inside Parcel During Time,101415,0,101415,101415,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p3_16_leaves,P3 16 Leaves,registerParcel,Register Parcel,896155,0,896155,896155,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p3_16_leaves,P3 16 Leaves,findBatchesInsideParcel,Q5 Batches Inside Parcel,100354,0,100354,100354,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p3_16_leaves,P3 16 Leaves,findBatchesInsideParcelDuringTime,Q6 Batches Inside Parcel During Time,115917,0,115917,115917,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p3_16_leaves,P3 16 Leaves,findLotsInsideParcelDuringTime,Q12 Lots Inside Parcel During Time,132319,0,132319,132319,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p4_32_leaves,P4 32 Leaves,registerParcel,Register Parcel,1411659,0,1411659,1411659,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p4_32_leaves,P4 32 Leaves,findBatchesInsideParcel,Q5 Batches Inside Parcel,160530,0,160530,160530,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p4_32_leaves,P4 32 Leaves,findBatchesInsideParcelDuringTime,Q6 Batches Inside Parcel During Time,177725,0,177725,177725,10,10,0,ok
parcel_coverage,Parcel Coverage Sweep,p4_32_leaves,P4 32 Leaves,findLotsInsideParcelDuringTime,Q12 Lots Inside Parcel During Time,194127,0,194127,194127,10,10,0,ok
lot_history,Lot History Sweep,l1_3_batches,L1 3 Batches/Lot,getLotTrajectory,Q9 Lot Trajectory,47742,0,47742,47742,10,10,0,ok
lot_history,Lot History Sweep,l1_3_batches,L1 3 Batches/Lot,getLotLocationAtTime,Q10 Lot Location At Time,40258,0,40258,40258,10,10,0,ok
lot_history,Lot History Sweep,l2_10_batches,L2 10 Batches/Lot,getLotTrajectory,Q9 Lot Trajectory,99747,0,99747,99747,10,10,0,ok
lot_history,Lot History Sweep,l2_10_batches,L2 10 Batches/Lot,getLotLocationAtTime,Q10 Lot Location At Time,49486,0,49486,49486,10,10,0,ok
lot_history,Lot History Sweep,l3_25_batches,L3 25 Batches/Lot,getLotTrajectory,Q9 Lot Trajectory,211208,0,211208,211208,10,10,0,ok
lot_history,Lot History Sweep,l3_25_batches,L3 25 Batches/Lot,getLotLocationAtTime,Q10 Lot Location At Time,63328,0,63328,63328,10,10,0,ok
